domain	Marinobacter_adhaerens_HP15	Marinobacter_adhaerens_strain_PBVC038	Marinobacter_algicola_DG893	Marinobacter_antarcticus_CGMCC1_10835	Marinobacter_aromaticivorans_strain_D15-8P	Marinobacter_daepoensis_DSM_16072	Marinobacter_dagiaonensis_CGMCC_1_9167	Marinobacter_excellens_HL-55	Marinobacter_excellens_LAMA_842	Marinobacter_flavimaris	Marinobacter_guaonensis_CGCC_1_6294	Marinobacter_guineae_strain_M3B	Marinobacter_hydrocarbonoclasticus_ASM1536	Marinobacter_hydrocarbonoclasticus_ATCC_49840	Marinobacter_hydrocarbonoclasticus_STW2	Marinobacter_lipoliticus_BF04_CF-4	Marinobacter_lipolyticus_SM19	Marinobacter_lutaoensis_T5054	Marinobacter_manganoxydans_MnI7-9	Marinobacter_mobilis_GCMCC_1_7059	Marinobacter_nanhaiticus_D15-8W	Marinobacter_nitrareduscens_AK21	Marinobacter_pelagius_CGMCC_1_6775	Marinobacter_persicus_IBRC-M_10445	Marinobacter_psychrophilus_20041	Marinobacter_salarius_SMR5	Marinobacter_salexigens_strain_HJR7	Marinobacter_salinus_Hb8	Marinobacter_santoriniensis_NKSG1	Marinobacter_segnicrescens_CGMCC_1_6489	Marinobacter_sp_AC-23	Marinobacter_sp_ANT_B65	Marinobacter_sp_BSs20148	Marinobacter_sp_C18	Marinobacter_sp_C1S70	Marinobacter_sp_CP1	Marinobacter_sp_CPC8	Marinobacter_sp_DG879	Marinobacter_sp_DSM_26291	Marinobacter_sp_DSM_26671	Marinobacter_sp_EhC06	Marinobacter_sp_EhN04	Marinobacter_sp_ELB17	Marinobacter_sp_EN3	Marinobacter_sp_ES_042	Marinobacter_sp_ES_048	Marinobacter_sp_ES-1	Marinobacter_sp_EVN1	Marinobacter_sp_FDB33	Marinobacter_sp_HK15	Marinobacter_sp_HL-58	Marinobacter_sp_IN6	Marinobacter_sp_LQ44	Marinobacter_sp_LV10MA510-1	Marinobacter_sp_LV10R510-11A	Marinobacter_sp_LV10R510-8	Marinobacter_sp_LV10R520-4	Marinobacter_sp_LVR2A5A20	Marinobacter_sp_MCTG268	Marinobacter_sp_N4	Marinobacter_sp_P4B1	Marinobacter_sp_PWS21	Marinobacter_sp_tcs-11	Marinobacter_sp_UBA2698	Marinobacter_sp_UBA3604	Marinobacter_sp_UBA4489	Marinobacter_sp_X15-166B	Marinobacter_sp_YWL01	Marinobacter_subterrani_JG233	Marinobacter_vinifirmus_FB1	Marinobacter_zhejiangensis_CGMCC_1_7061
GT30	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
GT32	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0
GT35	2	2	0	2	2	2	0	2	2	3	2	2	2	2	0	0	2	2	3	0	0	2	2	1	0	0	0	2	2	0	0	0	0	0	2	3	0	0	0	3	2	2	0	2	2	2	2	2	0	0	2	3	2	0	0	0	0	0	0	2	2	2	2	0	0	3	0	2	2	2	0
GT4	14	10	13	14	15	16	13	16	15	12	16	15	18	14	19	5	11	7	16	13	19	17	18	6	12	18	9	12	13	15	9	14	11	14	13	19	16	11	17	19	15	15	15	16	13	13	15	14	17	13	20	18	11	13	10	11	17	11	13	16	16	16	13	14	15	12	10	15	18	17	10
GT41	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GT44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GT45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT5	1	1	0	1	1	2	0	1	2	1	2	1	1	2	1	0	1	1	1	1	0	1	2	1	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	2	1	3	1	2	0	0	2	1	2	0	0	0	0	0	0	1	1	1	2	0	0	1	1	1	1	1	0
GT51	4	3	3	3	3	3	3	3	2	3	3	3	3	3	3	2	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	4	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3
GT52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT56	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0
GT7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GT70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GT8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT81	1	1	1	1	0	1	1	1	1	1	1	1	3	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1
GT83	2	2	1	2	1	2	0	0	0	2	1	2	2	2	0	1	1	1	2	1	2	3	3	1	1	0	1	2	4	2	1	1	1	2	2	4	1	1	2	2	1	1	1	2	2	2	2	2	0	1	0	3	0	1	1	1	1	1	1	2	2	1	2	2	2	3	0	2	2	2	1
GT84	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
GT9	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	0	1	0	1	2	2	1	1	2	1	1	1	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1	2	0	1	1	2	2	1	1	1	1	0	1	0	0	1	0	1	1	2	1	1	1	1	1	1	1	0	2	2
GT90	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
GT94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT99	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PL1_5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL1_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL12_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PL14	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
PL14_3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
PL22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PL22_1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PL5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0
PL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
PL9_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
